ix,iy,x_m,y_m,Lx1_m,Ly1_m,gap_m,Lx2_m,Ly2_m,x2_m,height_m,cost
1,1,-1.2825e-05,-1.3275e-05,2.5e-07,1.75e-07,1.2e-07,1.75e-07,2e-07,8.25e-08,6.3e-07,0.170105567214822
1,2,-1.2825e-05,-1.2825e-05,2e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,3.5e-08,6.3e-07,0.150842338651378
1,3,-1.2825e-05,-1.2375e-05,2e-07,1.8e-07,1e-07,1.75e-07,2e-07,3.75e-08,6.3e-07,0.0885818026022078
1,4,-1.2825e-05,-1.1925e-05,2.75e-07,1.8e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.609358826500732
1,5,-1.2825e-05,-1.1475e-05,2.75e-07,1.8e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,1.52314063751454
1,6,-1.2825e-05,-1.1025e-05,2e-07,1.8e-07,1.2e-07,2.5e-07,2e-07,9.5e-08,6.3e-07,1.26767366088009
1,7,-1.2825e-05,-1.0575e-05,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.693642646267585
1,8,-1.2825e-05,-1.0125e-05,2e-07,1.8e-07,1.1e-07,2.5e-07,2e-07,8.5e-08,6.3e-07,0.691377359885631
1,9,-1.2825e-05,-9.675e-06,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.586831446205712
1,10,-1.2825e-05,-9.225e-06,2e-07,1.7e-07,1.1e-07,2e-07,2e-07,6e-08,6.3e-07,0.291442919896431
1,11,-1.2825e-05,-8.775e-06,2.5e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,9.75e-08,6.3e-07,0.21629043245427
1,12,-1.2825e-05,-8.325e-06,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.32210339492367
1,13,-1.2825e-05,-7.875e-06,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.0137709189083457
1,14,-1.2825e-05,-7.425e-06,2.25e-07,1.7e-07,1.2e-07,2.5e-07,2e-07,1.075e-07,6.3e-07,0.57337092469011
1,15,-1.2825e-05,-6.975e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.269479171752638
1,16,-1.2825e-05,-6.525e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.564594877777197
1,17,-1.2825e-05,-6.075e-06,2.25e-07,1.75e-07,1e-07,1.5e-07,2e-07,3.75e-08,6.3e-07,0.421512976409192
1,18,-1.2825e-05,-5.625e-06,2e-07,1.75e-07,1e-07,1.5e-07,2e-07,2.5e-08,6.3e-07,0.417391862011789
1,19,-1.2825e-05,-5.175e-06,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.180531663427624
1,20,-1.2825e-05,-4.725e-06,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.235108063220529
1,21,-1.2825e-05,-4.275e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.158650925071309
1,22,-1.2825e-05,-3.825e-06,2.5e-07,1.7e-07,1.2e-07,2e-07,2e-07,9.5e-08,6.3e-07,0.180940232121292
